"Station","Date.local.","Tmax.C.","Period.Hrs.","Tmin.C.","Period.Hrs..1","Tgmin.C.","Period.Hrs..2","Tmean.C.","RHmean...","Period.Hrs..3","Freq"
"Dunedin, Musselburgh Ews","20210324:0900",16.8,24,11.9,24,11.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210325:0900",14.9,24,11.7,24,11.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210326:0900",16.8,24,12.5,24,10.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210327:0900",19.8,24,12.6,24,8.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210328:0900",20.9,24,14.2,24,11.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210329:0900",18.1,24,11.7,24,7.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210330:0900",18.2,24,12.6,24,11.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210331:0900",18.4,24,11.7,24,7.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210401:0900",18.1,24,5.3,24,-1.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210402:0900",21,24,7.3,24,1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210403:0900",15.2,24,6.1,24,-0.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210404:0900",21.9,24,9.7,24,5.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210405:0900",28.5,24,10.6,24,4.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210406:0900",21.4,24,9.4,24,2.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210407:0900",21.8,24,10.7,24,4.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210408:0900",18.7,24,7.2,24,1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210409:0900",17.2,24,6.4,24,0.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210410:0900",16.2,24,7.6,24,1.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210411:0900",20.2,24,11.3,24,7.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210412:0900",21,24,10.9,24,4.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210413:0900",16.5,24,10.6,24,4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210414:0900",15.5,24,11.9,24,10.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210415:0900",13.1,24,10.5,24,7.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210416:0900",18.6,24,9.6,24,3.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210417:0900",14.4,24,6.2,24,1.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210418:0900",15.2,24,7.4,24,0.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210419:0900",16,24,8.1,24,2.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210420:0900",22.9,24,9.1,24,2.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210421:0900",19.6,24,7.9,24,0.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210422:0900",19.1,24,10.7,24,8.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210423:0900",16.8,24,10,24,5.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210424:0900",16.5,24,7.4,24,1.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210425:0900",14.7,24,8.3,24,1.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210426:0900",14,24,3.7,24,-4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210427:0900",17,24,4.4,24,1.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210428:0900",9.4,24,3.4,24,-2.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210429:0900",16.2,24,8.6,24,3.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210430:0900",18,24,10,24,6.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210501:0900",13.8,24,5.8,24,-0.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210502:0900",14.6,24,5.5,24,-0.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210503:0900",19.3,24,5.6,24,-0.8,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210504:0900",16.8,24,6.8,24,0.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210505:0900",21.2,24,6.8,24,0.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210506:0900",16.8,24,6.2,24,-0.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210507:0900",17.2,24,9.6,24,4.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210508:0900",15.7,24,6.5,24,0.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210509:0900",19.5,24,10.5,24,9.5,24,NA,NA,NA,"D"
